k,stage,traceP,rcondP,K_norm,y_norm
1,post_predict,0.15001427923,0.942365162425,NaN,NaN
2,post_predict,0.150053653318,0.888640238866,NaN,NaN
3,post_predict,0.150118522651,0.838731719443,NaN,NaN
4,post_predict,0.150208226071,0.791417257937,NaN,NaN
5,post_predict,0.150324076356,0.744849891502,NaN,NaN
6,post_predict,0.15046235023,0.701476676988,NaN,NaN
7,post_predict,0.150627673713,0.66010333619,NaN,NaN
8,post_predict,0.150817574922,0.620816382924,NaN,NaN
9,post_predict,0.14525156114,0.316840804587,NaN,NaN
10,post_predict,0.145489714081,0.306352021341,NaN,NaN
10,gps_pre,0.145489714081,0.306352021341,0.0024123668233,4.93169407867
10,gps_post,0.145489714081,0.306352021341,0.00240861224712,4.93169407867
11,post_predict,0.145757854608,0.296102568787,NaN,NaN
12,post_predict,0.146050521329,0.286187709812,NaN,NaN
13,post_predict,0.146369334097,0.276598601229,NaN,NaN
14,post_predict,0.146710698156,0.267477395243,NaN,NaN
15,post_predict,0.147080610496,0.25858797797,NaN,NaN
16,post_predict,0.147472592624,0.250113157313,NaN,NaN
NaN,baro_post,0.131105093846,0.128986156334,0.0222426212126,4.14021631921
17,post_predict,0.131368867968,0.123550733647,NaN,NaN
18,post_predict,0.131647992389,0.118353780097,NaN,NaN
19,post_predict,0.131941950438,0.113392041576,NaN,NaN
20,post_predict,0.132251855475,0.108643958478,NaN,NaN
20,gps_pre,0.132251855475,0.108643958478,1.41806335699,2.97738319007
21,post_predict,0.132582519679,0.104032754311,NaN,NaN
22,post_predict,0.132929651664,0.0996283365133,NaN,NaN
23,post_predict,0.133291833364,0.0954314378472,NaN,NaN
24,post_predict,0.133668729692,0.0914306875518,NaN,NaN
25,post_predict,0.134064455046,0.0875852498568,NaN,NaN
26,post_predict,0.134479161556,0.0838850745308,NaN,NaN
27,post_predict,0.134902302057,0.0804171358907,NaN,NaN
28,post_predict,0.135348063997,0.0770517029429,NaN,NaN
29,post_predict,0.135803814141,0.0738729156241,NaN,NaN
30,post_predict,0.136280919918,0.0708148409269,NaN,NaN
30,gps_pre,0.136280919918,0.0708148409269,1.42432471235,4.2169625956
31,post_predict,0.136772534144,0.0679004877762,NaN,NaN
32,post_predict,0.13728083404,0.0651154470198,NaN,NaN
33,post_predict,0.137802630456,0.0624716528601,NaN,NaN
34,post_predict,0.138343897592,0.0599209059114,NaN,NaN
35,post_predict,0.138904721401,0.057480351414,NaN,NaN
36,post_predict,0.139472387977,0.0551794128707,NaN,NaN
37,post_predict,0.140067266468,0.0529425206275,NaN,NaN
38,post_predict,0.140670816082,0.0508380120233,NaN,NaN
39,post_predict,0.141295767551,0.0488019083182,NaN,NaN
40,post_predict,0.14193717514,0.0468617980741,NaN,NaN
40,gps_pre,0.14193717514,0.0468617980741,1.43363368542,1.79400056924
40,gps_post,0.14193717514,0.0468617980741,0.000540341819513,1.79400056924
41,post_predict,0.142595754596,0.0450012927615,NaN,NaN
42,post_predict,0.143268348844,0.043229389342,NaN,NaN
43,post_predict,0.143962794309,0.041526509148,NaN,NaN
44,post_predict,0.144673192817,0.0399010632648,NaN,NaN
45,post_predict,0.145392338246,0.0383604559758,NaN,NaN
46,post_predict,0.146138124339,0.0368678671038,NaN,NaN
47,post_predict,0.14689895384,0.0354430201274,NaN,NaN
48,post_predict,0.147679039078,0.0340791123543,NaN,NaN
49,post_predict,0.148471254306,0.0327777831834,NaN,NaN
50,post_predict,0.149277192882,0.031538610563,NaN,NaN
50,gps_pre,0.149277192882,0.031538610563,0.205750946354,2.41873761475
50,gps_post,0.149277192882,0.031538610563,0.175778083788,2.41873761475
51,post_predict,0.150094899496,0.0303590679003,NaN,NaN
52,post_predict,0.150933712851,0.029223836708,NaN,NaN
53,post_predict,0.151793539313,0.0281327980952,NaN,NaN
54,post_predict,0.152658936051,0.0271006626096,NaN,NaN
55,post_predict,0.153562822547,0.026088443035,NaN,NaN
56,post_predict,0.154470496487,0.0251338923936,NaN,NaN
57,post_predict,0.155391009521,0.0242225056065,NaN,NaN
58,post_predict,0.156337533294,0.0233381554418,NaN,NaN
59,post_predict,0.157301088243,0.0224920543916,NaN,NaN
60,post_predict,0.158269614519,0.0216903890089,NaN,NaN
60,gps_pre,0.158269614519,0.0216903890089,0.0434077788127,2.21219668769
60,gps_post,0.158269614519,0.0216903890089,0.0419933367215,2.21219668769
61,post_predict,0.159260772343,0.0209187709613,NaN,NaN
62,post_predict,0.160276501122,0.0201724057528,NaN,NaN
63,post_predict,0.161301745407,0.0194628569123,NaN,NaN
