time,px,py,pz,vx,vy,vz,roll,pitch,yaw,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z
0,1.47209728851294e-08,-4.39165468435476e-08,-4.16211332776584e-05,1.76844810084731e-06,-5.27574775333051e-06,-0.00499999662861228,-0.000119922631711233,3.76561729353853e-05,-7.59313552407548e-05,0,0,0,0,0,0
0.0025,2.13526529790897e-08,-6.37005967973892e-08,-6.03711196163204e-05,8.83721804711968e-06,-6.57033751849667e-06,-0.00999999139457941,-0.000463713571662083,0.000225543946726248,-0.000342650251695886,0,0,0,0,0,0
0.005,5.22816598902409e-08,-8.17446803580424e-08,-9.16210919967853e-05,6.76635499985423e-06,-1.59180981427198e-05,-0.014999981969595,-0.000896363111678511,0.000751546758692712,-0.000528473756276071,0,0,0,0,0,0
0.0075,6.66089690071203e-08,-1.33224617115957e-07,-0.000135371024953201,1.2805136066163e-05,-2.24414434342179e-05,-0.0199999734759331,-0.00140682200435549,0.00130521634127945,-0.000479828246170655,0,0,0,0,0,0
0.01,1.06170283231677e-07,-1.97482407315874e-07,-0.00019162094395142,1.06535699160304e-05,-2.8636641218327e-05,-0.0249999687075615,-0.00144458829890937,0.00155762466602027,-0.000133508714498021,0,0,0,0,0,0
0.0125,1.30114742091791e-07,-2.76818013844604e-07,-0.000260370870819315,1.07244541140972e-05,-4.49292347184382e-05,-0.0299999415874481,-0.00102178228553385,0.00190844608005136,0.000356091157300398,0,0,0,0,0,0
0.015,1.57014483193052e-07,-4.09506839105234e-07,-0.000341620703693479,8.92058505996829e-06,-5.90062882110942e-05,-0.0349999219179153,-0.000838728621602058,0.00258673238568008,0.000763319549150765,0,0,0,0,0,0
0.0175,1.7706111066218e-07,-5.74618866266974e-07,-0.000435370486229658,9.75766397459665e-06,-5.85415400564671e-05,-0.0399999208748341,-0.742842733860016,-0.00113385228905827,-0.66990864276886,0,0,0,0,0,0
0.02,2.02501624357865e-07,-7.20391767572437e-07,-0.000541620247531682,3.0426566809183e-05,-1.9656235963339e-05,-0.0449997261166573,-0.742618680000305,-0.000944300321862102,-0.670227706432343,0,0,0,0,0,0
0.0225,-0.895760774612427,-0.415869772434235,-1.02521443367004,-1.60913799618356e-07,-8.15617653415757e-08,-4.99855123052839e-05,-0.742042779922485,-0.00083181110676378,-0.670727550983429,0,0,0,0,0,0
0.025,-0.895760834217072,-0.415869742631912,-1.02515840530396,5.58759858400784e-06,1.28032700941648e-05,-0.00221333978802238,-0.741806447505951,-0.000691271503455937,-0.671345710754395,0,0,0,0,0,0
0.0275,-0.895760834217072,-0.415869683027267,-1.02516663074493,2.66909900328803e-05,3.56358869464591e-05,-0.00386134451031658,-1.34867560863495,-0.0114217158406973,-0.967220962047577,0,0,0,0,0,0
0.03,-0.895760715007782,-0.4158695936203,-1.02517831325531,3.46663546031831e-05,9.33589818921621e-05,-0.0050342941889449,-1.34861409664154,-0.0116811664775014,-0.967826843261719,0,0,0,0,0,0
0.0325,-0.895760655403137,-0.415869265794754,-1.02519237995148,3.354733946009e-05,0.000122537205865832,-0.00576959018550939,-1.34912979602814,-0.011732810176909,-0.968508660793304,0,0,0,0,0,0
0.035,-0.895760595798492,-0.415868937969208,-1.02520763874054,3.75896992156925e-05,0.000128612578361398,-0.00614696177663041,-1.35008919239044,-0.0114514194428921,-0.968839526176453,0,0,0,0,0,0
0.0375,-0.895760536193848,-0.415868610143661,-0.535564823208968,3.14573332980871e-05,0.000140812889058098,-0.00636892976828091,-1.61392068862915,-0.0443439073860645,-0.566886305809021,0,0,0,0,0,0
0.04,-0.895760476589203,-0.41586822271347,-0.535581052303314,3.63186593583313e-05,0.000188972237385362,-0.00652479581811658,-1.61442279815674,-0.0433628968894482,-0.566644668579102,0,0,0,0,0,0
0.0425,-0.895760416984558,-0.415867686271667,-0.535597562789917,4.47525302584639e-05,0.000204684615285485,-0.00659683832295656,-1.61506736278534,-0.0431237518787384,-0.566708207130432,0,0,0,0,0,0
0.045,-0.895760297775269,-0.415867149829865,-0.535614132881165,5.27045780246428e-05,0.00022019024694613,-0.0066269093836311,-1.61590051651001,-0.0437113977968693,-0.567064106464386,0,0,0,0,0,0
0.0475,2.5941424369812,-1.21958160400391,-0.624875068664551,6.07026850047987e-05,0.00024910134379752,-0.00665773870423436,-1.80502605438232,-0.0613436289131641,-0.16618900001049,0,0,0,0,0,0
0.05,2.59414267539978,-1.21958088874817,-0.624891757965088,6.9236683946987e-05,0.000300173300956098,-0.00663706455210131,-1.80706191062927,-0.0619030930101871,-0.165983885526657,0,0,0,0,0,0
0.0525,2.59414291381836,-1.21958017349243,-0.624908328056335,6.53034620206557e-05,0.000335059413633427,-0.0066455902292444,-1.80904543399811,-0.0619540326297283,-0.166012272238731,0,0,0,0,0,0
0.055,2.59414315223694,-1.21957921981812,-0.624924957752228,6.68007292751571e-05,0.000368426848694799,-0.00665078196939149,-1.81048214435577,-0.061218187212944,-0.16647307574749,0,0,0,0,0,0
0.0575,2.59414339065552,-1.2195782661438,-0.62494158744812,7.48075716929853e-05,0.000403384529143059,-0.00667920639493099,-2.00619101524353,-0.0716893970966339,0.0852703899145126,0,0,0,0,0,0
0.06,2.5941436290741,-1.21957719326019,-0.624958336353302,8.95856004595134e-05,0.00047447882148361,-0.00672306218916162,-2.00646376609802,-0.0707249566912651,0.0850948095321655,0,0,0,0,0,0
0.0625,2.59414386749268,-1.21957588195801,-0.624975204467773,9.45366036970373e-05,0.000518067028490582,-0.0067009860637892,-2.00610160827637,-0.0703888237476349,0.0846541225910187,0,0,0,0,0,0
0.065,2.59414410591125,-1.21957457065582,-0.624991953372955,9.7074307545949e-05,0.000583587422965168,-0.00672328867069099,-2.00491690635681,-0.0702068507671356,0.0841571092605591,0,0,0,0,0,0
0.0675,2.59414458274841,-1.21957302093506,-0.625008761882782,9.77548038084403e-05,0.000654878095428485,-0.00672686451973737,-2.13294076919556,-0.0742720514535904,0.294349610805511,0,0,0,0,0,0
0.07,2.59414482116699,-1.21957123279572,-0.625025570392609,0.000101450671158576,0.000714041765748225,-0.00672206010304613,-2.13132309913635,-0.0742045566439629,0.293227046728134,0,0,0,0,0,0
0.0725,2.59414505958557,-1.21956944465637,-0.625042378902435,9.09369710659352e-05,0.000776030327455219,-0.00667453417396336,-2.13046216964722,-0.0738460719585419,0.29265633225441,0,0,0,0,0,0
0.075,2.59414505958557,-1.21956741809845,-0.625059008598328,0.000101690081801094,0.000833393027238684,-0.00664919097108105,-2.13057613372803,-0.0733711272478104,0.292714834213257,0,0,0,0,0,0
0.0775,2.59414553642273,-1.21956527233124,-0.625075578689575,7.81891696442245e-05,0.000889055672688349,-0.00655051257429623,-2.20788478851318,-0.0677667558193207,0.427826941013336,0,0,0,0,0,0
0.08,2.59414553642273,-1.21956300735474,-0.625091850757599,6.75882217705255e-05,0.000930312884414337,-0.00636714016020503,-2.20683264732361,-0.0682480484247208,0.4273501932621,0,0,0,0,0,0
0.0825,2.59414577484131,-1.21956062316895,-0.62510758638382,5.6876492476445e-05,0.000962573670274531,-0.00606888202278771,-2.20565247535706,-0.068725697696209,0.426574170589447,0,0,0,0,0,0
0.085,2.59414601325989,-1.21955823898315,-0.625122368335724,1.7396067294204e-06,0.000976266691306018,-0.00580308265119552,-2.20486521720886,-0.0693713948130608,0.426095873117447,0,0,0,0,0,0
0.0875,2.59414601325989,-1.21955573558807,-0.62513655424118,0.000162437412654981,0.00176393741276115,-0.0092901773750782,-2.20432257652283,-0.070141114294529,0.425442814826965,0,0,0,0,0,0
0.09,2.59414672851562,-1.21955037117004,-0.625164091587067,0.000240766850765795,0.00255143316462636,-0.012690007686615,-2.20381450653076,-0.0705498456954956,0.424131721258163,0,0,0,0,0,0
0.0925,2.59414744377136,-1.21954298019409,-0.625200033187866,0.000324395950883627,0.00337895890697837,-0.0159123316407204,-2.20342254638672,-0.0702251419425011,0.423283278942108,0,0,0,0,0,0
0.095,2.59414839744568,-1.21953356266022,-0.625243842601776,0.000393696420360357,0.00415487727150321,-0.0189768020063639,-2.20304441452026,-0.0694649964570999,0.423665791749954,0,0,0,0,0,0
0.0975,2.99998641014099,-0.852887272834778,-0.766755521297455,0.000453898595878854,0.00492908107116818,-0.02205840498209,-2.22733926773071,-0.0625656172633171,0.601411938667297,0,0,0,0,0,0
0.1,2.99998760223389,-0.852873980998993,-0.766814529895782,0.00050479726633057,0.00578389829024673,-0.0248286686837673,-2.22683238983154,-0.0622198358178139,0.60082072019577,0,0,0,0,0,0
0.1025,2.99998903274536,-0.852858424186707,-0.766880035400391,0.000531397003214806,0.0065919104963541,-0.0275077298283577,-2.22629261016846,-0.0623465217649937,0.599518418312073,0,0,0,0,0,0
0.105,2.99999022483826,-0.852840900421143,-0.766952157020569,0.000597195292357355,0.00741484574973583,-0.0299899689853191,-2.22583627700806,-0.06292924284935,0.598720192909241,0,0,0,0,0,0
0.1075,2.99999165534973,-0.852821290493011,-0.767030239105225,0.000619865604676306,0.00825086887925863,-0.0323656015098095,-2.22599840164185,-0.0542273297905922,0.471951454877853,0,0,0,0,0,0
0.11,2.99999332427979,-0.852799654006958,-0.767114102840424,0.000658477831166238,0.00908053759485483,-0.0345920063555241,-2.2252676486969,-0.0550628863275051,0.472716391086578,0,0,0,0,0,0
0.1125,2.99999499320984,-0.852775931358337,-0.767203330993652,9.85090279153291e-05,0.00139972067883297,-0.00573030878257225,-2.22431302070618,-0.055811919271946,0.473662525415421,0,0,0,0,0,0
0.115,2.99999475479126,-0.852782011032104,-0.767181634902954,5.75129916179569e-05,0.00101159404548041,-0.00359600058624669,-2.22395586967468,-0.0559205748140812,0.474685728549957,0,0,0,0,0,0
0.1175,2.99999475479126,-0.852779924869537,-0.7671879529953,4.89547673132706e-05,0.00101875906762414,-0.00299065766293112,-2.17372536659241,-0.051805067807436,0.385738909244537,0,0,0,0,0,0
0.12,2.99999499320984,-0.852777361869812,-0.76719468832016,5.46455770739307e-05,0.00104051225963772,-0.00275243354057949,-2.17333507537842,-0.0514159090816975,0.386173248291016,0,0,0,0,0,0
0.1225,2.99999523162842,-0.852774739265442,-0.767201244831085,5.99001732078191e-05,0.00109779110589883,-0.00257431284005633,-2.1725606918335,-0.0513265281915665,0.385851055383682,0,0,0,0,0,0
0.125,2.999995470047,-0.852771937847137,-0.767207443714142,5.79799371824921e-05,0.0011161005890246,-0.00241853184702958,-2.17202115058899,-0.0514344796538353,0.385203748941422,0,0,0,0,0,0
0.1275,2.99999570846558,-0.852769136428833,-0.76721328496933,6.03219886958652e-05,0.00117561795634683,-0.00231483017388684,-2.14396333694458,-0.0500573702156544,0.393576145172119,0,0,0,0,0,0
0.13,2.99999594688416,-0.852766096591949,-0.767218947410583,-0.000310600938973948,0.00202590832486749,-0.00394833460450172,-2.14322471618652,-0.0501949600875378,0.393267303705215,0,0,0,0,0,0
0.1325,2.99999475479126,-0.852760016918182,-0.767230808734894,-0.00053593231132254,0.00287782680243254,-0.00545914191752672,-2.14147305488586,-0.0504980236291885,0.392631202936172,0,0,0,0,0,0
0.135,2.99999332427979,-0.852751731872559,-0.767246305942535,-0.000754519831389189,0.00371340592391789,-0.00689138285815716,-2.13983416557312,-0.0505843348801136,0.391643226146698,0,0,0,0,0,0
