time,px,py,pz,vx,vy,vz,roll,pitch,yaw,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,innov_norm,maha_dist
0,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0025,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0075,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0125,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0175,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0225,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.025,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0275,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0325,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.035,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0375,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0425,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.045,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0475,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0525,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.055,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0575,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.06,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
0.0625,0,0,0,0,0,0,-0.00400257,-0.01433034,0.03610919,0,0,0,0,0,0,0,0
