k,stage,traceP,rcondP,K_norm,y_norm
NaN,accel_post,0.102587858287,0.000283495075019,0.342630825959,0.280916957109
NaN,mag_post,0.102587858287,0.000283495075019,0.342630825959,0.280916957109
NaN,baro_post,0.102238638669,0.000278253189856,0.0129002681402,3.87732809236
77,post_predict,0.102311632101,0.000283744672986,NaN,NaN
78,post_predict,0.102385320086,0.000289160088154,NaN,NaN
79,post_predict,0.102459971391,0.000294495076481,NaN,NaN
80,post_predict,0.102535538206,0.000299752012661,NaN,NaN
NaN,accel_post,0.100656317315,3.7275094326e-09,0.535803579803,0.0230554777158
NaN,mag_post,0.100656317315,3.7275094326e-09,0.535803579803,0.0230554777158
NaN,baro_post,0.100437168021,3.72750893848e-09,0.00748282404915,2.10188315673
80,gps_pre,0.100437168156,7.47254632465e-09,1.48915959679,3.0004036496
81,post_predict,0.100499868641,1.38047579883e-05,NaN,NaN
82,post_predict,0.100563204071,2.74247501507e-05,NaN,NaN
83,post_predict,0.100627173287,4.08707819105e-05,NaN,NaN
84,post_predict,0.100691783513,5.41462817865e-05,NaN,NaN
NaN,accel_post,0.0940273742186,4.18802504238e-09,6.39513348439,0.0477343198723
NaN,mag_post,0.0940273742186,4.18802504238e-09,6.39513348439,0.0477343198723
NaN,baro_post,0.0937983831065,4.18803794039e-09,0.00766707555876,2.05030044289
85,post_predict,0.0938628545956,1.65951754101e-05,NaN,NaN
86,post_predict,0.0939280242976,3.29641196923e-05,NaN,NaN
87,post_predict,0.0939938942225,4.91131358702e-05,NaN,NaN
88,post_predict,0.0940604658552,6.50440761357e-05,NaN,NaN
89,post_predict,0.0941277395251,8.07590064028e-05,NaN,NaN
90,post_predict,0.0941957141554,9.62576902838e-05,NaN,NaN
90,gps_pre,0.0941957141554,9.62576902838e-05,1.50700693067,2.31713879112
91,post_predict,0.0942644049205,0.000111546039108,NaN,NaN
92,post_predict,0.0943337896366,0.000126623021959,NaN,NaN
NaN,accel_post,0.0920147443033,7.5516508608e-05,1.88191804813,0.0382081524013
NaN,mag_post,0.0920147443033,7.5516508608e-05,1.88191804813,0.0382081524013
93,post_predict,0.0920846037069,9.08640111916e-05,NaN,NaN
94,post_predict,0.0921551751007,0.000106002725618,NaN,NaN
95,post_predict,0.0922264884413,0.000120931998063,NaN,NaN
96,post_predict,0.0922985152024,0.000135656141314,NaN,NaN
NaN,accel_post,0.0906042010134,8.19835995725e-05,1.56638500907,0.043091845035
NaN,mag_post,0.0906042010134,8.19835995725e-05,1.56638500907,0.043091845035
NaN,baro_post,0.0903002469911,8.19821019565e-05,0.00887575794578,4.73938080381
97,post_predict,0.0903723750682,9.70189653551e-05,NaN,NaN
98,post_predict,0.090445235842,0.000111848084923,NaN,NaN
99,post_predict,0.0905188152208,0.000126474665769,NaN,NaN
100,post_predict,0.0905931470497,0.000140897675119,NaN,NaN
NaN,accel_post,0.0893745289925,8.86164080381e-05,1.30859351104,0.0713656874619
NaN,mag_post,0.0893745289925,8.86164080381e-05,1.30859351104,0.0713656874619
100,gps_pre,0.0893745289925,8.86164080381e-05,1.52568517471,3.81340900187
101,post_predict,0.0894491880238,0.000103382113874,NaN,NaN
102,post_predict,0.0895245773956,0.000117952245773,NaN,NaN
103,post_predict,0.0896007059656,0.000132330386763,NaN,NaN
104,post_predict,0.0896775702867,0.000146515843094,NaN,NaN
NaN,baro_post,0.0893645889715,0.0001458666787,0.00889975958671,6.85949234758
105,post_predict,0.0894418648629,0.000159878122179,NaN,NaN
106,post_predict,0.0895198855599,0.000173699513344,NaN,NaN
107,post_predict,0.0895986409063,0.00018734199929,NaN,NaN
108,post_predict,0.089678147558,0.000200804576219,NaN,NaN
NaN,accel_post,0.0885285340208,0.000121756809783,1.01407661992,0.0425452125491
NaN,mag_post,0.0885285340208,0.000121756809783,1.01407661992,0.0425452125491
NaN,baro_post,0.0882636556109,0.000121316372429,0.00778195542122,3.62279457876
109,post_predict,0.0883431865505,0.000135284995289,NaN,NaN
110,post_predict,0.0884234608171,0.00014906948081,NaN,NaN
110,gps_pre,0.0884234608171,0.00014906948081,1.54488106446,4.13662357326
111,post_predict,0.0885045263764,0.000162657949472,NaN,NaN
112,post_predict,0.0885862748904,0.000176080850579,NaN,NaN
NaN,accel_post,0.087863789368,0.000120301396995,0.798797856415,0.237470055375
NaN,mag_post,0.087863789368,0.000120301396995,0.798797856415,0.237470055375
NaN,baro_post,0.0876137334759,0.00011986850782,0.00757471040982,3.01158693661
113,post_predict,0.0876957531477,0.000133620794433,NaN,NaN
114,post_predict,0.0877784940335,0.000147192066798,NaN,NaN
115,post_predict,0.0878619838729,0.00016058647819,NaN,NaN
116,post_predict,0.0879462066807,0.000173804237509,NaN,NaN
NaN,baro_post,0.0877121871831,0.000172875914571,0.00741270895944,2.62811270635
117,post_predict,0.0877968929854,0.000185931652861,NaN,NaN
118,post_predict,0.0878823405967,0.000198810969599,NaN,NaN
119,post_predict,0.0879685313467,0.00021152471088,NaN,NaN
120,post_predict,0.0880554693403,0.000224066405945,NaN,NaN
NaN,accel_post,0.0874197219723,0.000131924673414,0.716116615365,0.0352313152776
NaN,mag_post,0.0874197219723,0.000131924673414,0.716116615365,0.0352313152776
NaN,baro_post,0.0872034704075,0.000131401705513,0.00703883725399,1.94395481607
120,gps_pre,0.0872034704075,0.000131401705513,1.56431074293,5.11950131821
121,post_predict,0.0872904338435,0.000144579395713,NaN,NaN
122,post_predict,0.0873781399202,0.000157582819608,NaN,NaN
123,post_predict,0.0874665948171,0.00017041662725,NaN,NaN
124,post_predict,0.0875557786084,0.000183079999088,NaN,NaN
NaN,baro_post,0.0873511919582,0.000182076265591,0.00696415878093,1.85729804176
125,post_predict,0.0874408793203,0.00019458419496,NaN,NaN
126,post_predict,0.0875313077415,0.000206929637661,NaN,NaN
127,post_predict,0.0876224850316,0.00021911127964,NaN,NaN
128,post_predict,0.0877144227823,0.000231134194206,NaN,NaN
NaN,accel_post,0.0871180918792,0.00013440974544,0.647095072101,0.0326942399221
NaN,mag_post,0.0871180918792,0.00013440974544,0.647095072101,0.0326942399221
129,post_predict,0.0872104070682,0.000147108405862,NaN,NaN
130,post_predict,0.0873034754817,0.000159638659465,NaN,NaN
130,gps_pre,0.0873034754817,0.000159638659465,1.58372102713,3.31107216241
131,post_predict,0.0873972874831,0.000172007857338,NaN,NaN
132,post_predict,0.0874918505635,0.000184212795192,NaN,NaN
NaN,accel_post,0.0871025953833,0.000116031906813,0.53335693481,0.0500086759476
NaN,mag_post,0.0871025953833,0.000116031906813,0.53335693481,0.0500086759476
NaN,baro_post,0.0868993870822,0.000115620040158,0.00682402447408,5.5964317585
133,post_predict,0.0869942475302,0.000128270308714,NaN,NaN
134,post_predict,0.0870898603775,0.000140755775882,NaN,NaN
135,post_predict,0.0871862158953,0.000153081004562,NaN,NaN
136,post_predict,0.087283321469,0.000165243710998,NaN,NaN
137,post_predict,0.0873811824822,0.000177247737747,NaN,NaN
138,post_predict,0.0874797885662,0.000189098355445,NaN,NaN
139,post_predict,0.0875791656681,0.000200793594469,NaN,NaN
140,post_predict,0.0876792984259,0.000212335392371,NaN,NaN
NaN,accel_post,0.0872681625509,0.0001266322504,0.525987112856,0.0479068992915
NaN,mag_post,0.0872681625509,0.0001266322504,0.525987112856,0.0479068992915
NaN,baro_post,0.0870805395318,0.000126118358967,0.00636092194827,2.25454348292
140,gps_pre,0.0870805395318,0.000126118358967,1.60289670992,2.18147859373
141,post_predict,0.0871809262837,0.000138287275256,NaN,NaN
142,post_predict,0.0872820707564,0.00015029868035,NaN,NaN
143,post_predict,0.0873839632163,0.000162154597273,NaN,NaN
144,post_predict,0.0874866276592,0.000173856503323,NaN,NaN
NaN,baro_post,0.0873144780975,0.000172884653569,0.00617902586744,5.57100907198
145,post_predict,0.0874176409323,0.000184444133791,NaN,NaN
146,post_predict,0.0875215755363,0.000195852467021,NaN,NaN
147,post_predict,0.0876262613679,0.000207112371051,NaN,NaN
148,post_predict,0.0877317219317,0.000218226650177,NaN,NaN
NaN,baro_post,0.0875736207464,0.000216902444177,0.00597257924495,4.54486038115
149,post_predict,0.0876796173171,0.000227883913212,NaN,NaN
150,post_predict,0.0877863751437,0.000238724395266,NaN,NaN
150,gps_pre,0.0877863751437,0.000238724395266,1.62165361625,5.45848104785
151,post_predict,0.087893910639,0.000249422592764,NaN,NaN
152,post_predict,0.0880022204298,0.000259982285697,NaN,NaN
