t     , x                    , y                  , vx                  , vy                   , theta            , ax                  , ay                   , omega, z, vz, meas_pos_x         , meas_pos_y          , meas_vel_x          , meas_vel_y           , meas_heading_x       , meas_heading_y       , accel3_x            , accel3_y             , accel3_z         , gyro3_x              , gyro3_y              , gyro3_z              , mag3_x              , mag3_y               , mag3_z               , gps_x              , gps_y               , baro
  0   , -10.837294926034     , -48.8114027526987  , 9.76228055053973    , -2.16745898520679    ,  4.49390909194632, 0.433491797041359   , 1.95245611010795     ,   0.2, 0,  0, -10.8471584626567  , -48.8403967924891   , 9.50042793377434    , -2.31726968183712    , -0.215946717113647   , -0.976405149191584   , -0.0890934949945474 , 0.0575217415567167   , -9.99495186126775, 0.0028828160079893   , -0.00356255802888742 , -0.00130199500877636 , -0.109659773499001  , -0.78995267870549    , -0.0153555035548486  , -32.5434600332867  , -54.8881211627406   , -0.560240784343086
  0.01, -10.7796219199234    , -48.8241717929092  , 9.76483435858183    , -2.15592438398467    ,  4.49509048509469, 0.431184876796935   , 1.95296687171637     ,   0.2, 0,  0, -10.713937228818   , -48.8392940737037   , 9.84959338449425    , -2.30862003858056    , -0.219419327740736   , -0.975630646614693   , -1.12871805596449   , 0.0734507268645305   , -10.0685549961087, 0.000270270984341941 , -0.00237539092015801 , 0.116331139801762    , -0.232194366368699  , -0.828464290671503   , -0.053376576004214   , -9.22337201029369  , -49.5514941008357   , -0.040403931123074
  0.02, -11.2544781989961    , -48.7169038473128  , 9.74338076946256    , -2.25089563979923    ,  4.48535402228378, 0.450179127959846   , 1.94867615389251     ,   0.2, 0,  0, -11.320097462643   , -48.941679085873    , 9.5593609573602     , -2.15262096555662    , -0.225558937746748   , -0.974229524086885   , 9.84756955859308    , 0.272533365156403    , -9.78225376376703, 0.00210857772994212  , -0.00338585912608437 , -0.974179686654844   , -0.0375929461621528 , -1.04847579649981    , 0.0822403457822896   , -9.71932807240625  , -49.0357945318815   , -0.555112800063707
  0.03, -10.5473992209223    , -48.8748643954588  , 9.77497287909176    , -2.10947984418445    ,  4.49984431421583, 0.421895968836891   , 1.95499457581835     ,   0.2, 0,  0, -10.7045095673222  , -48.9387445675155   , 9.81956436574575    , -2.34719232836354    , -0.210331077427721   , -0.977630215300291   , -14.8058555625775   , 0.00282674638995427  , -9.73874304951476, 0.00157666450172656  , -0.00100113612092855 , 1.44653293394509     , -0.409442707988132  , -0.988272529692167   , 0.0406850871511646   , -10.670427143553   , -46.7244063022416   , -0.637463115210442
  0.04, -11.5408358167542    , -48.6498623703164  , 9.72997247406327    , -2.30816716335084    ,  4.47947199901732, 0.461633432670169   , 1.94599449481265     ,   0.2, 0,  0, -11.4524010677765  , -48.7033251379092   , 9.6674088894284     , -2.54211365070036    , -0.230876616322206   , -0.972983035841637   , 20.2726308441029    , 0.117622512935343    , -9.93827142608968, 0.00423798604866885  , -0.000636988743075819, -2.03637446986336    , -0.35015114982659   , -1.02657321466671    , 0.0168986493547291   , -11.9816978366389  , -46.7622041478593   , 0.281592936134518
  0.05, -10.4352714557851    , -48.8989274897116  , 9.77978549794233    , -2.08705429115703    ,  4.50213792917787, 0.417410858231405   , 1.95595709958847     ,   0.2, 0,  0, -10.2471049801728  , -48.7914252531144   , 9.98221153373452    , -2.13079981210879    , -0.209753541089746   , -0.977754290197856   , -22.4969619362556   , 0.371652419323843    , -9.8026928855028 , 0.007433265379776    , 0.00211195856344094  , 2.26483601213914     , -0.0224817468066012 , -0.934061412274423   , 0.0597700440105895   , -15.7926973987142  , -61.768802995503    , -0.419848963979936
  0.06, -11.0954239715051    , -48.7533749282298  , 9.75067498564597    , -2.21908479430103    ,  4.48861766507439, 0.443816958860206   , 1.95013499712919     ,   0.2, 0,  0, -11.2017647063521  , -48.5485422748853   , 9.62841918606001    , -2.431151459561      , -0.225998300848271   , -0.974127695948377   , 13.4991773463071    , 0.145949037938391    , -9.70940985792446, 0.00101711818433643  , 0.00491945295342775  , -1.35469946257304    , -0.0163580107600362 , -0.851112116624134   , 0.0561545387830563   , 7.51900081101798   , -60.7619309053276   , -0.179629360562508
  0.07, -9.98972268169893    , -48.9918915815949  , 9.79837831631898    , -1.99794453633979    ,  4.51124083998572, 0.399588907267957   , 1.9596756632638      ,   0.2, 0,  0, -10.1120767804053  , -48.7274585908408   , 9.91981642285758    , -2.09601489763141    , -0.197418089279153   , -0.980319385723535   , -22.6185135498404   , 0.133551143595574    , -9.94197509701602, 0.00187667946128695  , 0.00317380651376719  , 2.25731275403702     , -0.212887593510931  , -0.865586211198139   , 0.118410678995754    , -9.76146501393076  , -48.3594480263056   , -0.252360472529901
  0.08, -10.3826128291712    , -48.9101354612674  , 9.78202709225349    , -2.07652256583423    ,  4.503214692822  , 0.415304513166847   , 1.9564054184507      ,   0.2, 0,  0, -10.3792185683244  , -48.8655966948255   , 9.89917813459725    , -1.98643142737797    , -0.209073087085174   , -0.977900017515428   , 8.01549850338894    , -0.199661222116001   , -10.0450015257702, 0.00293757145793184  , 0.00157868944107732  , -0.805652160638213   , -0.255447062291828  , -0.759725102795979   , 0.264241970877238    , -5.90340793802336  , -62.0394665890152   , 0.497935112714898
  0.09, -10.2318957090329    , -48.9418870723174  , 9.78837741446349    , -2.04637914180659    ,  4.50629520147271, 0.409275828361318   , 1.9576754828927      ,   0.2, 0,  0, -10.1862121203094  , -48.7295919258369   , 9.75560352703084    , -2.09236115970776    , -0.20847937111093    , -0.978026764368538   , -3.2752166245514    , 0.287606540269602    , -9.73515268960158, 0.00774336055047051  , 0.00347388253355718  , 0.305354708664427    , -0.59254058920617   , -0.853051096021224   , -0.0327052211477771  , -9.48433372084435  , -47.1953481472968   , 0.972830350523038
