time,px,py,pz,vx,vy,vz,roll,pitch,yaw,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,innov_norm,maha_dist
0.11,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1125,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.115,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1175,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1225,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.125,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1275,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.13,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1325,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.135,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1375,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.14,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1425,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.145,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1475,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.1525,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
